X,Y,OBJECTID,TYPE,OWNED_BY,DESCR,ADDRESS,CAPACITY,longitude,latitude,CreationDate,Creator,EditDate,Editor
-80.507248372999982,43.506979708000017,72,RACK,Private,Lester B. Pearson Public School,520 CHESAPEAKE DR,10,-80.5072483732071,43.5069797075613,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.507224576999988,43.50699416,73,RACK,Private,Lester B. Pearson Public School,520 CHESAPEAKE DR,10,-80.5072245765929,43.5069941595104,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.496960592999983,43.50200064500001,74,RACK,Private,Lexington Public School,431 FOREST LAWN RD,10,-80.4969605929253,43.5020006446547,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.49692808399999,43.501974295000025,75,RACK,Private,Lexington Public School,431 FOREST LAWN RD,10,-80.4969280836152,43.5019742946722,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.496896376999985,43.501949736000029,76,RACK,Private,Lexington Public School,431 FOREST LAWN RD,10,-80.4968963770996,43.5019497364625,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.496865464999985,43.501928159000016,77,RACK,Private,Lexington Public School,431 FOREST LAWN RD,10,-80.4968654647417,43.5019281585529,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.508430565999959,43.481824705,78,GROUND RACK,Private,Lincoln Heights Public School,270 QUICKFALL DR,10,-80.5084305663584,43.4818247053134,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.508457545999988,43.481799326000015,79,GROUND RACK,Private,Lincoln Heights Public School,270 QUICKFALL DR,10,-80.5084575463761,43.4817993255913,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.508485038999936,43.481774324000014,80,GROUND RACK,Private,Lincoln Heights Public School,270 QUICKFALL DR,10,-80.5084850389594,43.4817743235457,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
-80.508511502999966,43.481748942000024,81,GROUND RACK,Private,Lincoln Heights Public School,270 QUICKFALL DR,10,-80.5085115032926,43.4817489424943,2015-09-23T12:11:09.171Z,OpenData_Waterloo,2015-09-23T12:11:09.171Z,OpenData_Waterloo
